id,skills,HTML,CSS,Javascript,MongoDB,SQL,Python,R,Tableau,MATLAB,SAS,Visual Studio,Photoshop,Illustrator,PHP,NodeJS,Sketch,Angular
30,1.1E+16,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
31,1.10001E+16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
32,1.1E+16,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
33,1.1E+16,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
34,1.1E+16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,1.10001E+16,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
36,1.10001E+16,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
37,1.10001E+16,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
38,1.1E+16,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
39,1.10001E+16,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
40,1.10001E+16,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0
41,1.10001E+16,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0
42,1.10001E+16,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43,1.10001E+16,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0
44,1.10001E+16,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
45,1.10001E+16,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
46,1.10001E+16,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0
47,1.10001E+16,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
48,1.10001E+16,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
49,1.1E+16,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
50,1.10001E+16,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
51,1.10001E+16,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0
52,1.1E+16,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
53,1.1E+16,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0
54,1.10001E+16,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
55,1.10001E+16,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0
56,1.1E+16,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
57,1.10001E+16,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
58,1.1E+16,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
59,1.10001E+16,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
60,1.1E+16,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
61,1.10001E+16,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
62,1.1E+16,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
63,1.1E+16,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
64,1.10001E+16,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
65,1.1E+16,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
66,1.1E+16,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
67,1.10001E+16,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
68,1.1E+16,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
69,1.1E+16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1.1E+16,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
71,1.1E+16,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
72,1.1E+16,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
73,1.1E+16,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0
74,1.10001E+16,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0
75,1.1E+16,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
76,1.10001E+16,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
77,1.10001E+16,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
78,1.1E+16,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
79,1.1E+16,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
80,1.10001E+16,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
81,1.1E+16,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
82,1.10001E+16,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
83,1.10001E+16,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
84,1.1E+16,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
85,1.1E+16,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
86,1.10001E+16,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0
87,1.1E+16,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
88,1.1E+16,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
89,1.10001E+16,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90,1.10001E+16,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
91,1.10001E+16,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0
92,1.10001E+16,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
93,1.10001E+16,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
94,1.10001E+16,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0
95,1.10001E+16,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
96,1.1E+16,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
97,1.1E+16,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0
98,1.10001E+16,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
99,1.1E+16,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0
